Order ID,Date,Customer ID,Product ID,Product Name,Category,Quantity,Price per Unit,Total Sale Amount,Payment Method,Payment Status,Country,Continent
30,2023-05-18,Cust-292,3003,Smartphone,Electronics,2,700,1400,Bank Transfer,Failed,USA,North America
31,2023-07-01,Cust-995,3005,Smartwatch,Accessories,2,200,400,PayPal,Failed,Brazil,South America
32,2023-07-22,Cust-906,3002,Headphones,Accessories,2,50,100,Credit Card,Completed,Canada,North America
33,2023-01-01,Cust-4,3003,Smartphone,Electronics,3,700,2100,Bank Transfer,Failed,UK,Europe
34,2023-01-18,Cust-584,3005,Smartwatch,Accessories,2,200,400,Bank Transfer,Pending,Australia,Australia
35,2023-11-03,Cust-153,3005,Smartwatch,Accessories,5,200,1000,PayPal,Failed,Germany,Europe
36,2023-10-06,Cust-419,3004,Tablet,Electronics,5,300,1500,Credit Card,Pending,Japan,Asia
37,2023-01-24,Cust-331,3003,Smartphone,Electronics,4,700,2800,Credit Card,Completed,USA,North America
38,2023-03-19,Cust-113,3005,Smartwatch,Accessories,1,200,200,Credit Card,Failed,France,Europe
39,2023-11-25,Cust-16,3001,Laptop,Electronics,4,1000,4000,Bank Transfer,Pending,Australia,Australia
40,2023-03-21,Cust-443,3001,Laptop,Electronics,3,1000,3000,Credit Card,Failed,UK,Europe
41,2023-12-14,Cust-455,3003,Smartphone,Electronics,2,700,1400,Bank Transfer,Failed,South Africa,Africa
42,2023-05-27,Cust-640,3003,Smartphone,Electronics,2,700,1400,Credit Card,Pending,UK,Europe
43,2023-04-30,Cust-498,3005,Smartwatch,Accessories,3,200,600,PayPal,Failed,France,Europe
44,2023-12-19,Cust-274,3002,Headphones,Accessories,4,50,200,Bank Transfer,Pending,Japan,Asia
45,2023-11-28,Cust-711,3003,Smartphone,Electronics,2,700,1400,Credit Card,Failed,Brazil,South America
46,2023-01-15,Cust-191,3004,Tablet,Electronics,1,300,300,Bank Transfer,Failed,Germany,Europe
47,2023-02-23,Cust-149,3003,Smartphone,Electronics,5,700,3500,Credit Card,Failed,USA,North America
48,2023-01-09,Cust-288,3003,Smartphone,Electronics,5,700,3500,PayPal,Failed,UK,Europe
49,2023-07-27,Cust-370,3005,Smartwatch,Accessories,2,200,400,Credit Card,Completed,India,Asia
50,2023-09-08,Cust-285,3003,Smartphone,Electronics,2,700,1400,Bank Transfer,Failed,India,Asia
51,2023-09-10,Cust-281,3003,Smartphone,Electronics,5,700,3500,Bank Transfer,Pending,Australia,Australia
52,2023-12-02,Cust-127,3002,Headphones,Accessories,3,50,150,PayPal,Failed,Canada,North America
53,2023-04-20,Cust-13,3004,Tablet,Electronics,4,300,1200,PayPal,Completed,Canada,North America
54,2023-06-16,Cust-858,3001,Laptop,Electronics,5,1000,5000,Credit Card,Completed,Germany,Europe
55,2023-08-08,Cust-953,3005,Smartwatch,Accessories,4,200,800,Credit Card,Pending,USA,North America
56,2023-04-08,Cust-550,3001,Laptop,Electronics,5,1000,5000,PayPal,Failed,UK,Europe
57,2023-09-16,Cust-358,3003,Smartphone,Electronics,3,700,2100,PayPal,Pending,Japan,Asia
58,2023-04-10,Cust-608,3002,Headphones,Accessories,5,50,250,Credit Card,Failed,Canada,North America
59,2023-04-14,Cust-662,3003,Smartphone,Electronics,4,700,2800,Credit Card,Completed,South Africa,Africa
60,2023-11-23,Cust-561,3004,Tablet,Electronics,5,300,1500,Credit Card,Pending,Australia,Australia
61,2023-08-12,Cust-216,3005,Smartwatch,Accessories,4,200,800,Credit Card,Pending,Australia,Australia
62,2023-08-31,Cust-811,3003,Smartphone,Electronics,1,700,700,Credit Card,Pending,Canada,North America
63,2023-10-06,Cust-599,3004,Tablet,Electronics,2,300,600,Bank Transfer,Pending,India,Asia
64,2023-07-09,Cust-663,3003,Smartphone,Electronics,5,700,3500,PayPal,Failed,India,Asia
65,2023-10-15,Cust-67,3005,Smartwatch,Accessories,4,200,800,Credit Card,Pending,UK,Europe
66,2023-03-11,Cust-68,3001,Laptop,Electronics,5,1000,5000,PayPal,Pending,UK,Europe
67,2023-01-29,Cust-175,3002,Headphones,Accessories,5,50,250,PayPal,Pending,Australia,Australia
68,2023-06-19,Cust-894,3005,Smartwatch,Accessories,1,200,200,PayPal,Completed,Brazil,South America
69,2023-05-17,Cust-258,3004,Tablet,Electronics,2,300,600,Credit Card,Failed,South Africa,Africa
70,2023-09-20,Cust-426,3002,Headphones,Accessories,1,50,50,Credit Card,Completed,Germany,Europe
71,2023-06-08,Cust-141,3004,Tablet,Electronics,4,300,1200,Bank Transfer,Failed,India,Asia
72,2023-06-04,Cust-293,3002,Headphones,Accessories,5,50,250,Bank Transfer,Failed,Australia,Australia
73,2023-10-08,Cust-315,3002,Headphones,Accessories,5,50,250,PayPal,Pending,USA,North America
74,2023-07-15,Cust-408,3002,Headphones,Accessories,3,50,150,PayPal,Pending,Canada,North America
75,2023-10-27,Cust-542,3003,Smartphone,Electronics,4,700,2800,PayPal,Completed,Germany,Europe
76,2023-04-26,Cust-402,3002,Headphones,Accessories,2,50,100,PayPal,Failed,Canada,North America
77,2023-05-16,Cust-973,3005,Smartwatch,Accessories,3,200,600,Bank Transfer,Completed,UK,Europe
78,2023-07-16,Cust-412,3003,Smartphone,Electronics,4,700,2800,PayPal,Failed,USA,North America
79,2023-01-13,Cust-987,3005,Smartwatch,Accessories,4,200,800,Credit Card,Completed,Germany,Europe
80,2023-12-13,Cust-710,3005,Smartwatch,Accessories,1,200,200,Bank Transfer,Pending,South Africa,Africa
81,2023-11-12,Cust-413,3004,Tablet,Electronics,4,300,1200,PayPal,Completed,USA,North America
82,2023-09-25,Cust-848,3003,Smartphone,Electronics,4,700,2800,Bank Transfer,Pending,Brazil,South America
83,2023-10-04,Cust-303,3005,Smartwatch,Accessories,3,200,600,Credit Card,Completed,India,Asia
84,2023-10-13,Cust-322,3005,Smartwatch,Accessories,2,200,400,Credit Card,Failed,Germany,Europe
85,2023-09-16,Cust-256,3002,Headphones,Accessories,1,50,50,Credit Card,Pending,India,Asia
86,2023-08-06,Cust-83,3004,Tablet,Electronics,1,300,300,Bank Transfer,Failed,UK,Europe
87,2023-05-06,Cust-975,3003,Smartphone,Electronics,3,700,2100,Credit Card,Completed,USA,North America
88,2023-05-09,Cust-951,3001,Laptop,Electronics,2,1000,2000,PayPal,Completed,India,Asia
89,2023-03-12,Cust-810,3005,Smartwatch,Accessories,1,200,200,PayPal,Failed,Germany,Europe
90,2023-08-18,Cust-587,3003,Smartphone,Electronics,4,700,2800,Credit Card,Completed,Brazil,South America
91,2023-04-06,Cust-353,3001,Laptop,Electronics,5,1000,5000,Bank Transfer,Pending,Japan,Asia
92,2023-01-19,Cust-304,3002,Headphones,Accessories,1,50,50,Credit Card,Failed,South Africa,Africa
93,2023-05-22,Cust-350,3003,Smartphone,Electronics,1,700,700,Bank Transfer,Completed,South Africa,Africa
94,2023-01-22,Cust-833,3002,Headphones,Accessories,1,50,50,Bank Transfer,Completed,France,Europe
95,2023-03-07,Cust-805,3001,Laptop,Electronics,1,1000,1000,Credit Card,Failed,Japan,Asia
96,2023-02-18,Cust-72,3002,Headphones,Accessories,3,50,150,Credit Card,Completed,UK,Europe
97,2023-06-26,Cust-704,3001,Laptop,Electronics,3,1000,3000,Bank Transfer,Completed,UK,Europe
98,2023-08-19,Cust-23,3004,Tablet,Electronics,4,300,1200,Bank Transfer,Pending,South Africa,Africa
99,2023-07-24,Cust-516,3003,Smartphone,Electronics,2,700,1400,Bank Transfer,Pending,Canada,North America
100,2023-08-12,Cust-850,3005,Smartwatch,Accessories,5,200,1000,PayPal,Completed,France,Europe
101,2023-02-01,Cust-638,3003,Smartphone,Electronics,4,700,2800,PayPal,Failed,India,Asia
102,2023-06-03,Cust-100,3005,Smartwatch,Accessories,1,200,200,PayPal,Completed,USA,North America
103,2023-08-09,Cust-130,3003,Smartphone,Electronics,5,700,3500,Credit Card,Pending,France,Europe
104,2023-07-12,Cust-382,3003,Smartphone,Electronics,1,700,700,Credit Card,Completed,Japan,Asia
105,2023-03-07,Cust-927,3003,Smartphone,Electronics,1,700,700,Bank Transfer,Completed,Japan,Asia
106,2023-05-02,Cust-237,3004,Tablet,Electronics,3,300,900,PayPal,Pending,UK,Europe
107,2023-05-23,Cust-199,3004,Tablet,Electronics,5,300,1500,Bank Transfer,Failed,Canada,North America
108,2023-02-01,Cust-176,3003,Smartphone,Electronics,2,700,1400,Credit Card,Completed,France,Europe
109,2023-12-17,Cust-506,3004,Tablet,Electronics,4,300,1200,Credit Card,Failed,South Africa,Africa
110,2023-08-20,Cust-635,3002,Headphones,Accessories,5,50,250,Credit Card,Pending,Australia,Australia
111,2023-04-25,Cust-173,3001,Laptop,Electronics,5,1000,5000,Credit Card,Completed,Australia,Australia
112,2023-01-28,Cust-979,3001,Laptop,Electronics,1,1000,1000,Credit Card,Completed,Japan,Asia
113,2023-08-16,Cust-978,3003,Smartphone,Electronics,5,700,3500,Bank Transfer,Completed,USA,North America
114,2023-12-03,Cust-504,3001,Laptop,Electronics,3,1000,3000,Bank Transfer,Pending,France,Europe
115,2023-01-26,Cust-496,3005,Smartwatch,Accessories,1,200,200,PayPal,Failed,France,Europe
116,2023-09-28,Cust-348,3004,Tablet,Electronics,4,300,1200,Credit Card,Pending,Australia,Australia
117,2023-01-11,Cust-669,3001,Laptop,Electronics,1,1000,1000,Bank Transfer,Completed,France,Europe
118,2023-09-23,Cust-46,3005,Smartwatch,Accessories,4,200,800,Credit Card,Completed,UK,Europe
119,2023-06-26,Cust-18,3003,Smartphone,Electronics,3,700,2100,Bank Transfer,Pending,USA,North America
120,2023-11-01,Cust-774,3002,Headphones,Accessories,5,50,250,Credit Card,Failed,Germany,Europe
121,2023-06-13,Cust-342,3003,Smartphone,Electronics,5,700,3500,PayPal,Completed,France,Europe
122,2023-08-06,Cust-965,3005,Smartwatch,Accessories,2,200,400,Credit Card,Pending,Japan,Asia
123,2023-08-10,Cust-483,3002,Headphones,Accessories,4,50,200,Credit Card,Failed,Brazil,South America
124,2023-10-22,Cust-267,3004,Tablet,Electronics,1,300,300,Credit Card,Failed,Canada,North America
125,2023-03-15,Cust-555,3003,Smartphone,Electronics,5,700,3500,PayPal,Failed,India,Asia
126,2023-04-20,Cust-768,3005,Smartwatch,Accessories,3,200,600,Credit Card,Pending,Canada,North America
127,2023-09-10,Cust-686,3004,Tablet,Electronics,4,300,1200,Credit Card,Pending,Canada,North America
128,2023-04-03,Cust-658,3002,Headphones,Accessories,4,50,200,Credit Card,Failed,Canada,North America
129,2023-01-02,Cust-748,3004,Tablet,Electronics,1,300,300,PayPal,Pending,Japan,Asia
130,2023-12-04,Cust-478,3002,Headphones,Accessories,2,50,100,Bank Transfer,Pending,Brazil,South America
131,2023-10-02,Cust-203,3005,Smartwatch,Accessories,4,200,800,PayPal,Failed,Brazil,South America
132,2023-06-01,Cust-866,3003,Smartphone,Electronics,5,700,3500,Credit Card,Completed,South Africa,Africa
133,2023-03-04,Cust-544,3001,Laptop,Electronics,3,1000,3000,PayPal,Pending,UK,Europe
134,2023-10-27,Cust-86,3005,Smartwatch,Accessories,3,200,600,Credit Card,Pending,Germany,Europe
135,2023-08-21,Cust-105,3004,Tablet,Electronics,2,300,600,Credit Card,Pending,France,Europe
136,2023-07-17,Cust-439,3003,Smartphone,Electronics,2,700,1400,Bank Transfer,Pending,USA,North America
137,2023-10-29,Cust-686,3002,Headphones,Accessories,2,50,100,PayPal,Completed,Brazil,South America
138,2023-07-28,Cust-54,3004,Tablet,Electronics,2,300,600,Credit Card,Completed,UK,Europe
139,2023-12-08,Cust-203,3002,Headphones,Accessories,1,50,50,PayPal,Pending,UK,Europe
140,2023-10-21,Cust-88,3003,Smartphone,Electronics,3,700,2100,Credit Card,Completed,Australia,Australia
141,2023-05-12,Cust-471,3001,Laptop,Electronics,3,1000,3000,Credit Card,Failed,Canada,North America
142,2023-05-12,Cust-782,3002,Headphones,Accessories,5,50,250,Credit Card,Completed,Canada,North America
143,2023-01-22,Cust-499,3002,Headphones,Accessories,3,50,150,Bank Transfer,Completed,South Africa,Africa
144,2023-02-08,Cust-79,3002,Headphones,Accessories,4,50,200,PayPal,Failed,Australia,Australia
145,2023-04-11,Cust-843,3002,Headphones,Accessories,3,50,150,PayPal,Failed,South Africa,Africa
146,2023-01-28,Cust-329,3001,Laptop,Electronics,4,1000,4000,PayPal,Failed,Brazil,South America
147,2023-09-18,Cust-285,3004,Tablet,Electronics,5,300,1500,Bank Transfer,Pending,Germany,Europe
148,2023-04-29,Cust-189,3001,Laptop,Electronics,2,1000,2000,Bank Transfer,Failed,France,Europe
149,2023-07-26,Cust-470,3004,Tablet,Electronics,3,300,900,PayPal,Pending,USA,North America
150,2023-04-29,Cust-258,3003,Smartphone,Electronics,5,700,3500,Bank Transfer,Failed,Japan,Asia
151,2023-05-27,Cust-860,3003,Smartphone,Electronics,4,700,2800,Credit Card,Failed,India,Asia
152,2023-03-05,Cust-492,3005,Smartwatch,Accessories,4,200,800,PayPal,Completed,UK,Europe
153,2023-08-16,Cust-311,3002,Headphones,Accessories,3,50,150,PayPal,Pending,Germany,Europe
154,2023-04-16,Cust-352,3003,Smartphone,Electronics,4,700,2800,Bank Transfer,Pending,Brazil,South America
155,2023-06-16,Cust-331,3001,Laptop,Electronics,4,1000,4000,Credit Card,Pending,Brazil,South America
156,2023-04-08,Cust-763,3005,Smartwatch,Accessories,2,200,400,Credit Card,Pending,USA,North America
157,2023-12-20,Cust-419,3004,Tablet,Electronics,4,300,1200,Credit Card,Completed,Brazil,South America
158,2023-06-18,Cust-683,3005,Smartwatch,Accessories,1,200,200,PayPal,Completed,France,Europe
159,2023-07-08,Cust-689,3004,Tablet,Electronics,3,300,900,PayPal,Pending,UK,Europe
160,2023-03-02,Cust-146,3001,Laptop,Electronics,1,1000,1000,PayPal,Failed,India,Asia
161,2023-03-19,Cust-166,3004,Tablet,Electronics,5,300,1500,PayPal,Pending,Germany,Europe
162,2023-04-14,Cust-720,3005,Smartwatch,Accessories,1,200,200,PayPal,Failed,South Africa,Africa
163,2023-06-22,Cust-518,3002,Headphones,Accessories,1,50,50,PayPal,Completed,South Africa,Africa
164,2023-10-20,Cust-551,3001,Laptop,Electronics,1,1000,1000,PayPal,Failed,Canada,North America
165,2023-12-09,Cust-734,3003,Smartphone,Electronics,2,700,1400,Bank Transfer,Completed,Canada,North America
166,2023-12-07,Cust-253,3002,Headphones,Accessories,5,50,250,Credit Card,Completed,Brazil,South America
167,2023-10-03,Cust-612,3001,Laptop,Electronics,2,1000,2000,Bank Transfer,Failed,UK,Europe
168,2023-11-18,Cust-758,3001,Laptop,Electronics,3,1000,3000,Credit Card,Failed,France,Europe
169,2023-04-01,Cust-522,3002,Headphones,Accessories,2,50,100,PayPal,Pending,South Africa,Africa
170,2023-02-26,Cust-877,3002,Headphones,Accessories,3,50,150,PayPal,Failed,USA,North America
171,2023-03-25,Cust-90,3002,Headphones,Accessories,3,50,150,Credit Card,Completed,UK,Europe
172,2023-05-04,Cust-567,3001,Laptop,Electronics,2,1000,2000,PayPal,Pending,UK,Europe
173,2023-09-25,Cust-449,3005,Smartwatch,Accessories,2,200,400,PayPal,Pending,Australia,Australia
174,2023-01-19,Cust-989,3005,Smartwatch,Accessories,4,200,800,PayPal,Completed,South Africa,Africa
175,2023-12-17,Cust-485,3002,Headphones,Accessories,2,50,100,Bank Transfer,Pending,India,Asia
176,2023-07-17,Cust-682,3002,Headphones,Accessories,2,50,100,Bank Transfer,Failed,South Africa,Africa
177,2023-01-16,Cust-462,3004,Tablet,Electronics,1,300,300,PayPal,Completed,Brazil,South America
178,2023-03-23,Cust-283,3004,Tablet,Electronics,1,300,300,Credit Card,Completed,France,Europe
179,2023-02-26,Cust-671,3003,Smartphone,Electronics,3,700,2100,Credit Card,Failed,USA,North America
180,2023-06-28,Cust-555,3002,Headphones,Accessories,1,50,50,Bank Transfer,Completed,Australia,Australia
181,2023-06-29,Cust-84,3005,Smartwatch,Accessories,1,200,200,PayPal,Completed,South Africa,Africa
182,2023-07-12,Cust-903,3003,Smartphone,Electronics,3,700,2100,PayPal,Failed,Brazil,South America
183,2023-10-03,Cust-359,3005,Smartwatch,Accessories,5,200,1000,Bank Transfer,Pending,Brazil,South America
184,2023-03-18,Cust-871,3004,Tablet,Electronics,5,300,1500,Bank Transfer,Pending,India,Asia
185,2023-05-29,Cust-735,3003,Smartphone,Electronics,4,700,2800,Credit Card,Failed,Australia,Australia
186,2023-05-18,Cust-339,3001,Laptop,Electronics,1,1000,1000,Bank Transfer,Failed,France,Europe
187,2023-01-26,Cust-992,3001,Laptop,Electronics,3,1000,3000,Credit Card,Pending,Germany,Europe
188,2023-12-19,Cust-763,3003,Smartphone,Electronics,3,700,2100,Bank Transfer,Pending,Canada,North America
189,2023-12-08,Cust-321,3005,Smartwatch,Accessories,3,200,600,Credit Card,Failed,USA,North America
190,2023-06-03,Cust-76,3002,Headphones,Accessories,4,50,200,Credit Card,Pending,Brazil,South America
191,2023-09-19,Cust-604,3004,Tablet,Electronics,5,300,1500,Credit Card,Pending,France,Europe
192,2023-05-13,Cust-383,3001,Laptop,Electronics,1,1000,1000,Bank Transfer,Pending,Germany,Europe
193,2023-06-17,Cust-423,3004,Tablet,Electronics,3,300,900,Bank Transfer,Pending,France,Europe
194,2023-12-21,Cust-345,3005,Smartwatch,Accessories,1,200,200,PayPal,Pending,Australia,Australia
195,2023-03-18,Cust-322,3004,Tablet,Electronics,5,300,1500,Bank Transfer,Completed,France,Europe
196,2023-06-02,Cust-186,3004,Tablet,Electronics,5,300,1500,Credit Card,Pending,South Africa,Africa
197,2023-11-10,Cust-554,3005,Smartwatch,Accessories,4,200,800,Credit Card,Completed,India,Asia
198,2023-10-17,Cust-468,3003,Smartphone,Electronics,4,700,2800,Credit Card,Completed,Brazil,South America
199,2023-02-28,Cust-461,3001,Laptop,Electronics,3,1000,3000,Bank Transfer,Completed,France,Europe
200,2023-04-17,Cust-139,3003,Smartphone,Electronics,1,700,700,Bank Transfer,Failed,France,Europe
201,2023-12-22,Cust-854,3001,Laptop,Electronics,5,1000,5000,Credit Card,Completed,UK,Europe
202,2023-12-27,Cust-331,3004,Tablet,Electronics,2,300,600,PayPal,Failed,Germany,Europe
203,2023-03-13,Cust-540,3002,Headphones,Accessories,4,50,200,Credit Card,Failed,South Africa,Africa
204,2023-03-14,Cust-2,3004,Tablet,Electronics,4,300,1200,Bank Transfer,Failed,India,Asia
205,2023-01-30,Cust-589,3005,Smartwatch,Accessories,4,200,800,PayPal,Completed,USA,North America
206,2023-11-27,Cust-58,3004,Tablet,Electronics,5,300,1500,Bank Transfer,Pending,Canada,North America
207,2023-10-03,Cust-405,3005,Smartwatch,Accessories,5,200,1000,PayPal,Failed,India,Asia
208,2023-08-25,Cust-639,3003,Smartphone,Electronics,1,700,700,Credit Card,Failed,South Africa,Africa
209,2023-09-04,Cust-977,3005,Smartwatch,Accessories,1,200,200,PayPal,Pending,Japan,Asia
210,2023-12-30,Cust-512,3004,Tablet,Electronics,4,300,1200,Credit Card,Failed,India,Asia
211,2023-06-15,Cust-345,3003,Smartphone,Electronics,3,700,2100,Credit Card,Pending,Brazil,South America
212,2023-09-29,Cust-54,3001,Laptop,Electronics,5,1000,5000,Bank Transfer,Completed,Canada,North America
213,2023-11-07,Cust-815,3003,Smartphone,Electronics,1,700,700,Credit Card,Pending,Japan,Asia
214,2023-09-14,Cust-865,3003,Smartphone,Electronics,5,700,3500,Bank Transfer,Pending,USA,North America
215,2023-05-23,Cust-820,3003,Smartphone,Electronics,2,700,1400,Credit Card,Pending,South Africa,Africa
216,2023-03-10,Cust-888,3003,Smartphone,Electronics,2,700,1400,Credit Card,Completed,Brazil,South America
217,2023-08-26,Cust-295,3002,Headphones,Accessories,3,50,150,Credit Card,Failed,Germany,Europe
218,2023-10-22,Cust-247,3002,Headphones,Accessories,4,50,200,PayPal,Completed,Australia,Australia
219,2023-08-27,Cust-42,3003,Smartphone,Electronics,1,700,700,Credit Card,Failed,France,Europe
220,2023-11-06,Cust-797,3005,Smartwatch,Accessories,4,200,800,Credit Card,Failed,France,Europe
221,2023-05-30,Cust-81,3001,Laptop,Electronics,2,1000,2000,Credit Card,Failed,France,Europe
222,2023-10-23,Cust-58,3004,Tablet,Electronics,1,300,300,Bank Transfer,Completed,Japan,Asia
223,2023-05-10,Cust-233,3004,Tablet,Electronics,2,300,600,PayPal,Failed,Japan,Asia
224,2023-06-05,Cust-932,3005,Smartwatch,Accessories,1,200,200,Credit Card,Pending,South Africa,Africa
225,2023-08-25,Cust-698,3001,Laptop,Electronics,3,1000,3000,Credit Card,Completed,Japan,Asia
226,2023-04-09,Cust-340,3001,Laptop,Electronics,5,1000,5000,Credit Card,Completed,USA,North America
227,2023-08-02,Cust-744,3004,Tablet,Electronics,1,300,300,Credit Card,Failed,Brazil,South America
228,2023-03-25,Cust-447,3004,Tablet,Electronics,1,300,300,PayPal,Completed,Germany,Europe
229,2023-11-30,Cust-609,3004,Tablet,Electronics,2,300,600,Bank Transfer,Pending,Canada,North America
230,2023-11-23,Cust-854,3004,Tablet,Electronics,2,300,600,Bank Transfer,Completed,Japan,Asia
231,2023-09-07,Cust-606,3005,Smartwatch,Accessories,3,200,600,Credit Card,Completed,Canada,North America
232,2023-06-18,Cust-635,3004,Tablet,Electronics,4,300,1200,PayPal,Completed,South Africa,Africa
233,2023-01-20,Cust-385,3001,Laptop,Electronics,5,1000,5000,Credit Card,Completed,South Africa,Africa
234,2023-09-27,Cust-320,3005,Smartwatch,Accessories,1,200,200,Bank Transfer,Failed,Brazil,South America
235,2023-02-08,Cust-911,3005,Smartwatch,Accessories,1,200,200,PayPal,Completed,UK,Europe
236,2023-08-21,Cust-171,3003,Smartphone,Electronics,1,700,700,Bank Transfer,Pending,USA,North America
237,2023-06-03,Cust-627,3004,Tablet,Electronics,5,300,1500,PayPal,Pending,Japan,Asia
238,2023-04-30,Cust-808,3001,Laptop,Electronics,3,1000,3000,Bank Transfer,Completed,India,Asia
239,2023-11-10,Cust-556,3005,Smartwatch,Accessories,1,200,200,Bank Transfer,Completed,Australia,Australia
240,2023-01-11,Cust-336,3001,Laptop,Electronics,3,1000,3000,Bank Transfer,Pending,Germany,Europe
241,2023-06-05,Cust-779,3002,Headphones,Accessories,5,50,250,Bank Transfer,Failed,Brazil,South America
242,2023-03-01,Cust-942,3003,Smartphone,Electronics,1,700,700,Credit Card,Completed,Japan,Asia
243,2023-03-15,Cust-229,3005,Smartwatch,Accessories,5,200,1000,Credit Card,Completed,UK,Europe
244,2023-12-28,Cust-717,3005,Smartwatch,Accessories,2,200,400,Credit Card,Pending,UK,Europe
245,2023-03-18,Cust-181,3005,Smartwatch,Accessories,1,200,200,PayPal,Pending,USA,North America
246,2023-07-18,Cust-407,3002,Headphones,Accessories,3,50,150,PayPal,Failed,Germany,Europe
247,2023-04-02,Cust-625,3005,Smartwatch,Accessories,4,200,800,Bank Transfer,Failed,France,Europe
248,2023-04-03,Cust-692,3003,Smartphone,Electronics,5,700,3500,Credit Card,Failed,USA,North America
249,2023-05-09,Cust-516,3002,Headphones,Accessories,4,50,200,Credit Card,Pending,USA,North America
250,2023-03-21,Cust-252,3005,Smartwatch,Accessories,4,200,800,Bank Transfer,Failed,Australia,Australia
251,2023-04-14,Cust-475,3003,Smartphone,Electronics,4,700,2800,Credit Card,Completed,UK,Europe
252,2023-11-05,Cust-62,3005,Smartwatch,Accessories,4,200,800,Credit Card,Pending,France,Europe
253,2023-05-25,Cust-520,3004,Tablet,Electronics,1,300,300,Credit Card,Pending,Germany,Europe
254,2023-11-07,Cust-418,3005,Smartwatch,Accessories,1,200,200,PayPal,Failed,Germany,Europe
255,2023-11-17,Cust-738,3005,Smartwatch,Accessories,3,200,600,Bank Transfer,Completed,UK,Europe
256,2023-05-01,Cust-22,3004,Tablet,Electronics,4,300,1200,Credit Card,Failed,Canada,North America
257,2023-06-30,Cust-616,3002,Headphones,Accessories,5,50,250,Credit Card,Completed,Brazil,South America
258,2023-07-30,Cust-970,3001,Laptop,Electronics,5,1000,5000,Credit Card,Completed,India,Asia
259,2023-03-20,Cust-79,3005,Smartwatch,Accessories,1,200,200,PayPal,Pending,Brazil,South America
260,2023-04-25,Cust-782,3001,Laptop,Electronics,5,1000,5000,PayPal,Completed,South Africa,Africa
261,2023-10-05,Cust-398,3002,Headphones,Accessories,4,50,200,Credit Card,Completed,India,Asia
262,2023-02-07,Cust-470,3004,Tablet,Electronics,3,300,900,PayPal,Pending,France,Europe
